Run,ER,Spn,Ct,index,alpha,ln.alpha,beta,Smsy,Smsy80p,Sgen,Umsy
0,0,0,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
8,0,8,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
16,0,16,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
24,0,24,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
32,0,32,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
40,0,40,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
48,0,48,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
56,0,56,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
64,0,64,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
72,0,72,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
80,0,80,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
88,0,88,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
96,0,96,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
104,0,104,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
112,0,112,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
120,0,120,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
128,0,128,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
136,0,136,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
144,0,144,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
153,0,153,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
161,0,161,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
169,0,169,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
177,0,177,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
185,0,185,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
193,0,193,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
201,0,201,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
209,0,209,0,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
